date,y
2023-12-01,-5.382083333333333
2023-12-02,-4.960833333333333
2023-12-03,-4.474375
2023-12-04,-3.465208333333333
2023-12-05,-3.475
2023-12-06,-3.879583333333333
2023-12-07,-3.355
2023-12-08,-4.533125
2023-12-09,-5.2508333333333335
2023-12-10,-5.015208333333333
2023-12-11,-4.368125
2023-12-12,-4.645208333333334
2023-12-13,-5.408124999999999
2023-12-14,-5.469791666666667
2023-12-15,-6.461875
2023-12-16,-6.732083333333333
2023-12-17,-6.388541666666666
2023-12-18,-6.474791666666667
2023-12-19,-5.922499999999999
2023-12-20,-5.784166666666667
2023-12-21,-5.826249999999999
2023-12-22,-6.003333333333334
2023-12-23,-6.303333333333334
2023-12-24,-6.171250000000001
2023-12-25,-6.558125
2023-12-26,-6.302916666666667
2023-12-27,-5.8343750000000005
2023-12-28,-6.170833333333333
2023-12-29,-6.6727083333333335
2023-12-30,-6.205625
2023-12-31,-6.008125
2024-01-01,-6.976530612244899
2024-01-02,-6.8887755102040815
2024-01-03,-7.356122448979591
2024-01-04,-7.40204081632653
2024-01-05,-7.363673469387755
2024-01-06,-8.49408163265306
2024-01-07,-9.096938775510203
2024-01-08,-8.154489795918368
2024-01-09,-7.063469387755102
2024-01-10,-6.918775510204081
2024-01-11,-7.058163265306123
2024-01-12,-7.454081632653061
2024-01-13,-7.115306122448979
2024-01-14,-6.252040816326531
2024-01-15,-5.609591836734694
2024-01-16,-5.536938775510204
2024-01-17,-6.1669387755102045
2024-01-18,-7.144081632653061
2024-01-19,-7.759183673469387
2024-01-20,-7.963673469387755
2024-01-21,-8.066734693877551
2024-01-22,-8.137755102040817
2024-01-23,-8.271428571428572
2024-01-24,-7.985714285714286
2024-01-25,-8.106734693877552
2024-01-26,-7.226734693877551
2024-01-27,-7.177142857142857
2024-01-28,-6.739795918367347
2024-01-29,-7.048367346938775
2024-01-30,-7.51938775510204
2024-01-31,-7.703877551020408
2024-02-01,-8.366326530612245
2024-02-02,-8.032653061224488
2024-02-03,-7.803877551020408
2024-02-04,-7.700612244897959
2024-02-05,-7.401020408163265
2024-02-06,-7.875306122448979
2024-02-07,-8.566938775510204
2024-02-08,-8.28734693877551
2024-02-09,-7.198163265306122
2024-02-10,-7.408367346938776
2024-02-11,-7.781224489795917
2024-02-12,-7.972653061224491
2024-02-13,-7.691836734693877
2024-02-14,-7.037142857142857
2024-02-15,-7.592040816326531
2024-02-16,-7.212244897959183
2024-02-17,-6.905918367346938
2024-02-18,-6.955510204081633
2024-02-19,-7.0410204081632655
2024-02-20,-7.175714285714286
2024-02-21,-6.70469387755102
2024-02-22,-6.491224489795918
2024-02-23,-5.999183673469387
2024-02-24,-5.234285714285715
2024-02-25,-4.938775510204081
2024-02-26,-4.799183673469388
2024-02-27,-4.660816326530612
2024-02-28,-4.714489795918367
2024-02-29,-4.606122448979591
2024-03-01,-4.237755102040817
