date,y
2010-06-30,21.711754538338063
2010-07-01,21.172823427292997
2010-07-02,20.5210112122048
2010-07-03,19.767413836098232
2010-07-04,18.924758083448552
2010-07-05,18.007198134354194
2010-07-06,17.030088601686728
2010-07-07,16.009737699824
2010-07-08,14.963144522484766
2010-07-09,13.90772467180395
2010-07-10,12.86102867671798
2010-07-11,11.8404577626835
2010-07-12,10.862981584615506
2010-07-13,9.94486250979317
2010-07-14,9.101390937657625
2010-07-15,8.34663597044583
2010-07-16,7.693215505196156
2010-07-17,7.152089507701837
2010-07-18,6.732379857445088
2010-07-19,6.441219725395428
2010-07-20,6.283634970689162
2010-07-21,6.2624595253161885
2010-07-22,6.378286186392282
2010-07-23,6.62945366230046
2010-07-24,7.012070131248602
2010-07-25,7.520072978163198
